Year,Zip Code,County,Total Beneficiaries,Dual Eligible Beneficiaries,Non Dual Beneficiaries,Child Beneficiaries,Adult Beneficiaries,Dual Beneficiaries Admitted,Total Dual Admissions,Non Dual Beneficiaries Admitted,Total Non Dual Admissions,Total Beneficiaries Admitted,Total Admissions,Dual Beneficiaries ER ,Dual Beneficiaries ER Visits,Non Dual Beneficiaries ER,Non Dual Beneficiaries ER Visits,Total Beneficiaries ER,Total ER Visits
2012,06390,Suffolk,4,1,3,1,3,1,1,0,0,1,1,0,0,0,0,0,0
2012,10001,New York,10704,2478,8226,1065,9639,547,917,1712,4774,2259,5691,605,1391,2594,9013,3199,10404
2012,10002,New York,58639,10748,47891,13857,44782,1506,1970,3632,5298,5138,7268,1173,2083,6571,12674,7744,14757
2012,10003,New York,4668,1163,3505,598,4070,190,306,595,1630,785,1936,155,328,1002,2810,1157,3138
2012,10004,New York,635,268,367,36,599,47,70,92,206,139,276,85,255,134,372,219,627
2012,10005,New York,1052,66,986,123,929,27,42,267,611,294,653,18,48,400,1216,418,1264
2012,10006,New York,100,14,86,20,80,1,1,9,14,10,15,5,12,16,38,21,50
2012,10007,New York,620,264,356,63,557,59,76,45,96,104,172,49,98,68,176,117,274
2012,10008,New York,86,19,67,20,66,2,3,10,17,12,20,1,1,17,26,18,27
2012,10009,New York,18105,4246,13859,4029,14076,796,1083,1386,2462,2182,3545,762,1469,4451,10083,5213,11552
2012,10010,New York,2457,651,1806,528,1929,119,160,208,448,327,608,111,184,484,963,595,1147
2012,10011,New York,5352,1527,3825,949,4403,257,325,441,833,698,1158,270,478,1064,2389,1334,2867
2012,10012,New York,2808,778,2030,444,2364,120,171,153,258,273,429,65,98,270,670,335,768
2012,10013,New York,9752,2161,7591,1724,8028,302,410,599,1188,901,1598,173,452,686,1941,859,2393
2012,10014,New York,1779,670,1109,174,1605,140,228,163,307,303,535,130,296,291,686,421,982
2012,10015,New York,6,3,3,0,6,0,0,0,0,0,0,0,0,2,3,2,3
2012,10016,New York,5719,1336,4383,901,4818,224,357,616,1265,840,1622,208,411,1376,3764,1584,4175
2012,10017,New York,669,193,476,86,583,28,38,81,136,109,174,22,60,116,340,138,400
2012,10018,New York,2802,653,2149,214,2588,166,244,356,955,522,1199,155,382,661,1759,816,2141
2012,10019,New York,6256,1767,4489,1279,4977,268,344,546,1003,814,1347,273,538,1356,3254,1629,3792
2012,10020,New York,34,8,26,10,24,1,1,0,0,1,1,3,8,9,14,12,22
2012,10021,New York,2278,1026,1252,261,2017,161,235,161,473,322,708,126,245,306,776,432,1021
2012,10022,New York,1055,383,672,136,919,46,68,98,164,144,232,60,99,180,376,240,475
2012,10023,New York,5683,1393,4290,904,4779,229,323,570,1180,799,1503,206,347,1410,3577,1616,3924
2012,10024,New York,5414,2098,3316,863,4551,404,528,379,665,783,1193,305,543,961,2088,1266,2631
2012,10025,New York,20428,5744,14684,4429,15999,1159,1598,1744,3269,2903,4867,1050,1996,5059,11824,6109,13820
2012,10026,New York,15580,2136,13444,4636,10944,406,614,1433,2384,1839,2998,500,935,4698,10026,5198,10961
2012,10027,New York,25963,3531,22432,8037,17926,729,1096,2569,4334,3298,5430,811,1714,8185,17977,8996,19691
2012,10028,New York,1866,552,1314,284,1582,82,105,165,298,247,403,78,138,328,759,406,897
2012,10029,New York,42668,7066,35602,13982,28686,1527,2157,4098,6857,5625,9014,1431,2805,12700,27353,14131,30158
2012,10030,New York,15192,1801,13391,5009,10183,356,511,1532,2472,1888,2983,421,830,4844,10109,5265,10939
2012,10031,New York,31612,4667,26945,9490,22122,800,1056,2510,3721,3310,4777,878,1372,7761,14904,8639,16276
