Discharge Year,Software Version,Patient Zipcode,Observed Rate Per 100 People,Expected Rate Per 100 People,Risk Adjusted Rate Per 100 People,Difference in Rates
2014,1.31,Statewide,24.26,24.26,24.26,0.00
2014,1.31,6390,0.45,19.12,0.57,-18.67
2014,1.31,10001,34.29,22.61,36.79,11.68
2014,1.31,10002,23.34,16.31,34.73,7.04
2014,1.31,10003,16.73,21.76,18.66,-5.02
2014,1.31,10004,14.27,20.94,16.53,-6.67
2014,1.31,10005,8.84,21.91,9.79,-13.07
2014,1.31,10006,8.90,20.84,10.35,-11.95
2014,1.31,10007,6.54,21.43,7.41,-14.88
2014,1.31,10009,26.39,23.77,26.93,2.61
2014,1.31,10010,12.41,22.15,13.59,-9.74
2014,1.31,10011,12.40,22.06,13.63,-9.66
2014,1.31,10012,9.95,20.94,11.52,-10.99
2014,1.31,10013,7.98,16.95,11.42,-8.98
2014,1.31,10014,8.93,22.04,9.83,-13.11
2014,1.31,10016,31.71,20.67,37.21,11.04
2014,1.31,10017,13.51,19.83,16.53,-6.32
2014,1.31,10018,23.92,20.16,28.80,3.77
2014,1.31,10019,17.69,20.84,20.60,-3.14
2014,1.31,10021,10.88,20.13,13.11,-9.25
2014,1.31,10022,9.75,19.77,11.97,-10.02
2014,1.31,10023,10.15,20.57,11.97,-10.42
2014,1.31,10024,11.03,21.67,12.35,-10.64
2014,1.31,10025,22.32,24.65,21.97,-2.33
2014,1.31,10026,42.27,35.78,28.66,6.49
2014,1.31,10027,41.87,32.92,30.85,8.94
2014,1.31,10028,9.75,20.20,11.71,-10.45
2014,1.31,10029,58.46,29.68,47.77,28.77
2014,1.31,10030,58.91,39.13,36.52,19.78
2014,1.31,10031,37.04,31.01,28.98,6.03
2014,1.31,10032,41.59,28.62,35.25,12.96
2014,1.31,10033,29.74,25.69,28.09,4.05
2014,1.31,10034,30.51,26.90,27.52,3.61
2014,1.31,10035,63.53,32.81,46.97,30.72
2014,1.31,10036,22.51,22.25,24.54,0.26
2014,1.31,10037,62.31,39.33,38.43,22.97
2014,1.31,10038,28.72,19.66,35.44,9.06
2014,1.31,10039,51.42,37.67,33.11,13.74
2014,1.31,10040,28.62,26.44,26.26,2.18
2014,1.31,10044,12.74,25.58,12.08,-12.84
2014,1.31,10128,11.27,21.19,12.90,-9.92
2014,1.31,10280,12.63,18.60,16.48,-5.97
2014,1.31,10301,33.26,27.89,28.93,5.36
2014,1.31,10302,30.54,28.42,26.06,2.11
2014,1.31,10303,35.00,31.05,27.35,3.95
2014,1.31,10304,31.56,27.19,28.16,4.37
2014,1.31,10305,24.20,20.39,28.79,3.81
2014,1.31,10306,19.03,19.77,23.35,-0.74
2014,1.31,10307,17.06,19.21,21.54,-2.15
2014,1.31,10308,15.76,18.97,20.15,-3.21
2014,1.31,10309,16.11,18.99,20.58,-2.88
2014,1.31,10310,33.09,27.17,29.55,5.92
2014,1.31,10312,15.46,18.65,20.10,-3.19
2014,1.31,10314,16.22,19.84,19.84,-3.61
2014,1.31,10451,56.64,33.08,41.54,23.57
2014,1.31,10452,47.07,31.91,35.78,15.15
2014,1.31,10453,43.84,32.11,33.12,11.73
2014,1.31,10454,60.44,30.88,47.48,29.56
2014,1.31,10455,56.50,30.83,44.46,25.67
2014,1.31,10456,53.69,33.62,38.74,20.07
2014,1.31,10457,59.20,32.44,44.27,26.76
2014,1.31,10458,45.18,29.91,36.65,15.27
2014,1.31,10459,42.81,32.05,32.40,10.76
2014,1.31,10460,44.04,31.95,33.44,12.09
2014,1.31,10461,29.98,23.29,31.24,6.70
2014,1.31,10462,32.48,29.48,26.72,2.99
2014,1.31,10463,24.09,25.90,22.56,-1.82
2014,1.31,10464,18.12,21.11,20.83,-2.98
2014,1.31,10465,20.51,23.96,20.76,-3.45
2014,1.31,10466,42.94,40.56,25.68,2.38
2014,1.31,10467,46.57,31.20,36.22,15.38
2014,1.31,10468,38.76,29.45,31.93,9.31
2014,1.31,10469,31.48,35.70,21.40,-4.21
2014,1.31,10470,29.01,31.72,22.19,-2.70
2014,1.31,10471,13.13,22.85,13.94,-9.72
2014,1.31,10472,40.86,32.10,30.88,8.76
2014,1.31,10473,34.56,33.46,25.06,1.10
2014,1.31,10474,22.59,32.99,16.61,-10.40
2014,1.31,10475,21.19,36.66,14.02,-15.47
2014,1.31,10501,12.10,17.83,16.46,-5.73
2014,1.31,10502,11.34,17.53,15.69,-6.19
2014,1.31,10504,9.47,17.87,12.86,-8.40
2014,1.31,10505,21.75,19.33,27.30,2.43
2014,1.31,10506,10.43,18.27,13.85,-7.84
2014,1.31,10507,18.32,23.73,18.73,-5.41
2014,1.31,10509,15.07,20.13,18.16,-5.06
2014,1.31,10510,12.22,19.26,15.39,-7.05
2014,1.31,10511,21.52,21.17,24.67,0.36
2014,1.31,10512,19.06,20.17,22.92,-1.11
2014,1.31,10514,9.52,17.73,13.03,-8.21
2014,1.31,10516,15.69,19.80,19.22,-4.11
2014,1.31,10518,13.21,19.23,16.67,-6.02
2014,1.31,10520,15.17,21.00,17.53,-5.82
2014,1.31,10522,15.65,20.55,18.48,-4.90
2014,1.31,10523,14.30,27.12,12.79,-12.82
2014,1.31,10524,18.95,21.10,21.79,-2.15
2014,1.31,10526,12.83,19.45,16.01,-6.61
2014,1.31,10527,9.23,18.81,11.91,-9.57
2014,1.31,10528,2.32,18.62,3.03,-16.30
2014,1.31,10530,4.77,19.88,5.82,-15.11
2014,1.31,10532,16.78,20.04,20.32,-3.26
2014,1.31,10533,11.48,18.20,15.30,-6.72
2014,1.31,10535,48.73,22.46,52.64,26.27
2014,1.31,10536,10.64,19.17,13.46,-8.53
2014,1.31,10537,26.36,22.91,27.92,3.45
2014,1.31,10538,3.75,19.61,4.64,-15.85
2014,1.31,10541,17.45,19.30,21.92,-1.86
2014,1.31,10543,4.84,21.54,5.45,-16.70
2014,1.31,10546,11.09,18.08,14.89,-6.99
2014,1.31,10547,24.26,21.56,27.30,2.70
2014,1.31,10548,27.32,20.66,32.08,6.66
2014,1.31,10549,19.02,20.86,22.11,-1.85
2014,1.31,10550,37.98,41.62,22.14,-3.64
2014,1.31,10552,11.04,31.73,8.44,-20.69
2014,1.31,10553,20.03,42.10,11.54,-22.07
2014,1.31,10560,8.62,19.14,10.93,-10.52
2014,1.31,10562,23.33,24.57,23.03,-1.24
